player,age,goat,similarity,distance,data_cutoff,model_version
Deandre Ayton,25,Larry Bird,33.94784146504224,1.945695386935718,2023-24,V2
Deandre Ayton,25,Magic Johnson,27.420996456089267,2.6468404844490405,2023-24,V2
Deandre Ayton,25,Michael Jordan,26.29637985821475,2.8028048172098834,2023-24,V2
Deandre Ayton,25,LeBron James,24.731513847030865,3.0434241356400213,2023-24,V2
Deandre Ayton,25,Kareem Abdul-Jabbar,22.309922641733994,3.482310477084994,2023-24,V2
Dejounte Murray,27,Larry Bird,27.71821922852072,2.607735373458075,2023-24,V2
Dejounte Murray,27,Kareem Abdul-Jabbar,24.699143192790057,3.048723440301001,2023-24,V2
Dejounte Murray,27,Magic Johnson,24.26128058661489,3.1217939689123697,2023-24,V2
Dejounte Murray,27,Michael Jordan,23.817787423309714,3.198542804279677,2023-24,V2
Dejounte Murray,27,LeBron James,23.308359677870754,3.2903061983783113,2023-24,V2
Deni Avdija,23,Larry Bird,56.67922790553562,0.7643147885970661,2023-24,V2
Deni Avdija,23,Kareem Abdul-Jabbar,45.95425748525081,1.176076939815541,2023-24,V2
Deni Avdija,23,Magic Johnson,36.07317870364046,1.772142727469374,2023-24,V2
Deni Avdija,23,LeBron James,31.517725971436114,2.1728177372513486,2023-24,V2
Dennis Smith Jr.,26,Larry Bird,21.733904820187586,3.601106005908095,2023-24,V2
Dennis Smith Jr.,26,Magic Johnson,19.895379711920803,4.026292609036386,2023-24,V2
Dennis Smith Jr.,26,LeBron James,19.78128823717203,4.055282487218648,2023-24,V2
Dennis Smith Jr.,26,Michael Jordan,18.3253924330538,4.456909060219001,2023-24,V2
Dennis Smith Jr.,26,Kareem Abdul-Jabbar,18.22306993400076,4.487549593025441,2023-24,V2
Dereck Lively II,20,Magic Johnson,35.94973796972923,1.7816614431015614,2023-24,V2
Dereck Lively II,20,LeBron James,25.60264043564588,2.905847143045943,2023-24,V2
Derrick Jones Jr.,27,Larry Bird,23.320293801962983,3.288110640852326,2023-24,V2
Derrick Jones Jr.,27,Kareem Abdul-Jabbar,22.17156184077128,3.510282167677968,2023-24,V2
Derrick Jones Jr.,27,Michael Jordan,21.69419967207829,3.6095270400182526,2023-24,V2
Derrick Jones Jr.,27,Magic Johnson,21.609569200579955,3.6275795260794106,2023-24,V2
Derrick Jones Jr.,27,LeBron James,20.91781128246149,3.780614886025139,2023-24,V2
Desmond Bane,26,Larry Bird,28.69396280280945,2.4850536570086064,2023-24,V2
Desmond Bane,26,Magic Johnson,26.853071730688278,2.72396875124412,2023-24,V2
Desmond Bane,26,LeBron James,26.37620138224109,2.7912965006147283,2023-24,V2
Desmond Bane,26,Michael Jordan,24.65773198184682,3.055523033246555,2023-24,V2
Desmond Bane,26,Kareem Abdul-Jabbar,24.45517764107082,3.089113621160403,2023-24,V2
Devin Booker,27,Larry Bird,34.356048559651946,1.9106956181637516,2023-24,V2
Devin Booker,27,Kareem Abdul-Jabbar,32.948198967803044,2.0350672611185794,2023-24,V2
Devin Booker,27,Magic Johnson,32.30960732614165,2.095054637791595,2023-24,V2
Devin Booker,27,Michael Jordan,31.844857244842547,2.1402244711332647,2023-24,V2
Devin Booker,27,LeBron James,30.99738189642693,2.2260789099587472,2023-24,V2
Devin Vassell,23,Larry Bird,53.73041802504208,0.8611431601628917,2023-24,V2
Devin Vassell,23,Kareem Abdul-Jabbar,40.962144866572075,1.44127841268407,2023-24,V2
Devin Vassell,23,Magic Johnson,32.738673700775706,2.054491483496798,2023-24,V2
Devin Vassell,23,LeBron James,30.212104574914534,2.309931612080781,2023-24,V2
Donovan Mitchell,27,Larry Bird,29.797109450790973,2.356030227198614,2023-24,V2
Donovan Mitchell,27,Kareem Abdul-Jabbar,27.991336001146493,2.5725340153790484,2023-24,V2
Donovan Mitchell,27,Magic Johnson,27.52958289417184,2.6324560522553555,2023-24,V2
Donovan Mitchell,27,Michael Jordan,27.149583876575953,2.6832977055783807,2023-24,V2
Donovan Mitchell,27,LeBron James,26.557484093931773,2.76541692150912,2023-24,V2
Donte DiVincenzo,27,Larry Bird,25.533410498158563,2.9164372502142584,2023-24,V2
Donte DiVincenzo,27,Kareem Abdul-Jabbar,24.283225087362062,3.118069146097233,2023-24,V2
Donte DiVincenzo,27,Michael Jordan,23.711646633456112,3.217336802704554,2023-24,V2
Donte DiVincenzo,27,Magic Johnson,23.696842047312934,3.2199715810377083,2023-24,V2
Donte DiVincenzo,27,LeBron James,22.90821357292681,3.365246538393598,2023-24,V2
Drew Eubanks,27,Kareem Abdul-Jabbar,22.64136935615829,3.416693991735121,2023-24,V2
Drew Eubanks,27,Michael Jordan,22.453472956681843,3.453654015702786,2023-24,V2
Drew Eubanks,27,Larry Bird,22.402008310515004,3.4638854969561907,2023-24,V2
