Name,PLAYER_ID,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,PTS,REB,AST,PPG,RPG,APG,PPG_Z,RPG_Z,APG_Z,PRODUCTION_Z,TS_PCT,TS_PLUS,TS_Z
Kareem Abdul-Jabbar,76003,1986-87,LAL,40.0,78,2441.0,1366,523.0,203,17.512820512820515,6.705128205128205,2.6025641025641026,1.1379233008008443,0.9471577828000662,0.08909580590534771,0.7660453969319619,0.5970697251556053,114.56409839167515,1.452175750849667
Kareem Abdul-Jabbar,76003,1987-88,LAL,41.0,80,2308.0,1165,478.0,135,14.5625,5.975,1.6875,0.7234317923230381,0.7306292326888495,-0.30667708006432864,0.4165583627165715,0.5703180073627321,108.99720618479674,0.9129360117975607
Kareem Abdul-Jabbar,76003,1988-89,LAL,42.0,74,1695.0,748,334.0,74,10.108108108108109,4.513513513513513,1.0,0.052115086292811766,0.21272986920063358,-0.5801867293085834,-0.08939102351526024,0.5112083105522143,98.51026979014273,-0.15386986575174522
Magic Johnson,77142,1979-80,LAL,20.0,77,2795.0,1387,596.0,563,18.01298701298701,7.740259740259741,7.311688311688312,1.1851394286748973,1.1955148526201171,2.7884934725120534,1.66925826900961,0.6018502447321832,116.33306007628433,1.7175990103712333
Magic Johnson,77142,1980-81,LAL,21.0,37,1371.0,798,320.0,317,21.56756756756757,8.64864864864865,8.567567567567568,1.8502410635633224,1.6747377813448405,3.497106926393164,2.2916498377467303,0.5816326530612245,112.45349248828775,1.1587948592106085
Magic Johnson,77142,1981-82,LAL,22.0,78,2991.0,1447,751.0,743,18.55128205128205,9.628205128205128,9.525641025641026,1.402375079796392,2.074832383578501,3.9321746857214017,2.3630521527085273,0.5898803117764081,112.43034751029279,1.2786686970674037
Magic Johnson,77142,1982-83,LAL,23.0,79,2907.0,1326,683.0,829,16.78481012658228,8.645569620253164,10.49367088607595,1.0567267821971165,1.6526754512220385,4.27875791971311,2.202120724159391,0.6026177058716596,116.88769629735573,1.673435319360496
Magic Johnson,77142,1983-84,LAL,24.0,67,2567.0,1178,491.0,875,17.582089552238806,7.3283582089552235,13.059701492537313,1.1808709467708962,1.270581802416306,5.150015786441877,2.3985276553658132,0.6282532639303695,119.0437412637321,1.9203049186043246
Magic Johnson,77142,1984-85,LAL,25.0,77,2781.0,1406,476.0,968,18.25974025974026,6.181818181818182,12.571428571428571,1.2120522451028921,0.8046088310159911,4.7590513671918515,2.1539189575035094,0.6372602342361942,120.4355326644754,1.947647322143557
Magic Johnson,77142,1985-86,LAL,26.0,72,2578.0,1354,426.0,907,18.805555555555557,5.916666666666667,12.597222222222221,1.4019942573604123,0.6950679333345027,4.747058803471247,2.19343572398589,0.610481892944741,115.48354373750485,1.5684269413255882
Magic Johnson,77142,1986-87,LAL,27.0,80,2904.0,1909,504.0,977,23.8625,6.3,12.2125,2.11670756062114,0.802298283947126,4.558278205866131,2.4548559711924334,0.6019651371055221,115.50341658629955,1.545834490847273
Magic Johnson,77142,1987-88,LAL,28.0,72,2637.0,1408,449.0,858,19.555555555555557,6.236111111111111,11.916666666666666,1.5104648521496846,0.8277848626146417,4.380047284936721,2.1665355851252825,0.5812609399253608,111.08858163041992,1.1251454376218637
Magic Johnson,77142,1988-89,LAL,29.0,77,2886.0,1730,607.0,988,22.467532467532468,7.883116883116883,12.831168831168831,1.9522207217463443,1.4853177979128802,4.641780132786359,2.6190176679083095,0.6246750245537004,120.37540065316239,2.104515396408912
Magic Johnson,77142,1989-90,LAL,30.0,79,2937.0,1765,522.0,907,22.341772151898734,6.6075949367088604,11.481012658227849,1.9042624425054757,0.9772072647990764,4.130365056520667,2.293976673398113,0.6222325633866373,120.42446533620397,1.815621255309394
Magic Johnson,77142,1990-91,LAL,31.0,79,2933.0,1531,551.0,989,19.379746835443036,6.974683544303797,12.518987341772151,1.4909716355738465,1.1090672211337105,4.651574870820811,2.324581281815895,0.6233104256913006,119.95652855170135,1.931366429167132
Magic Johnson,77142,1995-96,LAL,36.0,32,958.0,468,183.0,220,14.625,5.71875,6.875,0.9064315051050874,0.6941999422919949,2.402612215047354,1.2916162492438397,0.6118606840288673,115.8876523168914,1.6515465370295142
